date,set,index,item-name,category,amazon-link,amazon-price,amazon-discounted-price,amazon-rating,amazon-total-ratings
12_10_2022,AM,1,"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",All Mobile Phones,https://www.amazon.in/Samsung-Galaxy-Storage-6000mAh-Battery/dp/B0B4F2TTTS/ref=sr_1_3?keywords=Samsung+Galaxy+M13+%28Aqua+Green%2C+4GB%2C+64GB+Storage%29+%7C+6000mAh+Battery+%7C+Upto+8GB+RAM+with+RAM+Plus&qid=1665556055&qu=eyJxc2MiOiIwLjI4IiwicXNhIjoiMC4xNyIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-3,"14,999","9,499",4.0,"5,206"
12_10_2022,AM,2,"Redmi A1 (Black, 2GB RAM, 32GB Storage) | Helio A22 | 5000 mAh Battery | 8MP AI Dual Cam | Leather Texture Design | Android 12",All Mobile Phones,https://www.amazon.in/Redmi-Storage-Battery-Leather-Texture/dp/B0BBN56J5H/ref=sr_1_1?keywords=Redmi+A1+%28Black%2C+2GB+RAM%2C+32GB+Storage%29+%7C+Helio+A22+%7C+5000+mAh+Battery+%7C+8MP+AI+Dual+Cam+%7C+Leather+Texture+Design+%7C+Android+12&qid=1665556059&sr=8-1,"8,999","6,299",4.0,516
12_10_2022,AM,4,"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",All Mobile Phones,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02205781RYIR8G0QDNIH&url=%2FSamsung-Midnight-Storage-6000mAh-Battery%2Fdp%2FB0B4F52B5X%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DSamsung%2BGalaxy%2BM13%2B%2528Midnight%2BBlue%252C%2B4GB%252C%2B64GB%2BStorage%2529%2B%257C%2B6000mAh%2BBattery%2B%257C%2BUpto%2B8GB%2BRAM%2Bwith%2BRAM%2BPlus%26qid%3D1665556063%26qu%3DeyJxc2MiOiIxLjYyIiwicXNhIjoiMC43MiIsInFzcCI6IjAuMDAifQ%253D%253D%26sr%3D8-1-spons%26psc%3D1&qualifier=1665556063&id=5906248871501485&widgetName=sp_atf,"14,999","9,499",4.0,"5,206"
12_10_2022,AM,6,"Apple Watch SE (GPS + Cellular, 40mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Tablets,https://www.amazon.in/Apple-Watch-GPS-Cellular-40mm/dp/B09G9717T5/ref=sr_1_16?keywords=Apple+Watch+SE+%28GPS+%2B+Cellular%2C+40mm%29+-+Space+Grey+Aluminium+Case+with+Midnight+Sport+Band+-+Regular&qid=1665556070&qu=eyJxc2MiOiIwLjAwIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-16,"33,900","25,900",4.6,"3,711"
12_10_2022,AM,8,"Apple Watch SE (GPS + Cellular, 44mm) - Space Grey Aluminium Case with Midnight Sport Band - Regular",Tablets,https://www.amazon.in/Apple-Watch-GPS-Cellular-44mm/dp/B09G9H7FNX/ref=sr_1_15?keywords=Apple+Watch+SE+%28GPS+%2B+Cellular%2C+44mm%29+-+Space+Grey+Aluminium+Case+with+Midnight+Sport+Band+-+Regular&qid=1665556074&qu=eyJxc2MiOiIwLjU5IiwicXNhIjoiMC41NCIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-15,"36,900","27,900",4.5,178
12_10_2022,AM,9,"Amazfit GTS 4 Mini Smart Watch, Alexa Built-in Fitness Tracker with 24H Heart Rate Blood Oxygen Monitor, 5 Satellite Positioning, 120+ Sports Modes, 5 ATM Waterproof (Midnight Black)",Tablets,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A048614339UPAYXWW4IZI&url=%2FAmazfit-Satellite-Positioning-Waterproof-Midnight%2Fdp%2FB0B59PWQF8%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DAmazfit%2BGTS%2B4%2BMini%2BSmart%2BWatch%252C%2BAlexa%2BBuilt-in%2BFitness%2BTracker%2Bwith%2B24H%2BHeart%2BRate%2BBlood%2BOxygen%2BMonitor%252C%2B5%2BSatellite%2BPositioning%252C%2B120%252B%2BSports%2BModes%252C%2B5%2BATM%2BWaterproof%2B%2528Midnight%2BBlack%2529%26qid%3D1665556078%26qu%3DeyJxc2MiOiIwLjAwIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%253D%253D%26sr%3D8-2-spons%26psc%3D1&qualifier=1665556078&id=6917919524764638&widgetName=sp_atf,"10,999","6,499",4.0,471
12_10_2022,AM,17,"ASUS Vivobook 15, 15.6"" (39.62 cm) FHD, AMD Dual Core Ryzen 3 3200U, Thin and Light Laptop (8GB/256GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.68 Kg), X512DA-BQ301WS",Laptops,https://www.amazon.in/ASUS-Vivobook-Integrated-Graphics-X512DA-BQ301WS/dp/B0BBVV47J9/ref=sr_1_4?keywords=ASUS+Vivobook+15%2C+15.6%22+%2839.62+cm%29+FHD%2C+AMD+Dual+Core+Ryzen+3+3200U%2C+Thin+and+Light+Laptop+%288GB%2F256GB+SSD%2FIntegrated+Graphics%2FWindows+11%2FOffice+2021%2FSilver%2F1.68+Kg%29%2C+X512DA-BQ301WS&qid=1665556081&qu=eyJxc2MiOiIwLjM0IiwicXNhIjoiMC4zOCIsInFzcCI6IjAuMDAifQ%3D%3D&sr=8-4,"48,990","33,250",4.0,210
12_10_2022,AM,18,"Honor MagicBook X 15, Intel Core i3-10110U / 15.6 inch (39.62 cm) Thin and Light Laptop (8GB/256GB PCIe SSD/Windows 10/Aluminium Metal Body/1.56Kg), Silver/Gray,(BohrBR-WAI9A)",Laptops,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00697521HKVM90IFVMLB&url=%2FHonor-MagicBook-i3-10110U-Aluminium-BohrBR-WAI9A%2Fdp%2FB09VPV28W3%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DHonor%2BMagicBook%2BX%2B15%252C%2BIntel%2BCore%2Bi3-10110U%2B%252F%2B15.6%2Binch%2B%252839.62%2Bcm%2529%2BThin%2Band%2BLight%2BLaptop%2B%25288GB%252F256GB%2BPCIe%2BSSD%252FWindows%2B10%252FAluminium%2BMetal%2BBody%252F1.56Kg%2529%252C%2BSilver%252FGray%252C%2528BohrBR-WAI9A%2529%26qid%3D1665556085%26qu%3DeyJxc2MiOiIwLjM4IiwicXNhIjoiMC40NCIsInFzcCI6IjAuMDAifQ%253D%253D%26sr%3D8-2-spons%26psc%3D1&qualifier=1665556085&id=4364731917186624&widgetName=sp_atf,"49,999","29,990",4.2,440
12_10_2022,AM,21,Mi 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),Televisions,https://www.amazon.in/inches-Ready-Smart-Android-L32M7-5AIN/dp/B0B6F7LX4C/ref=sr_1_2?keywords=Mi+80+cm+%2832+inches%29+5A+Series+HD+Ready+Smart+Android+LED+TV+L32M7-5AIN+%28Black%29&qid=1665556096&qu=eyJxc2MiOiIwLjI2IiwicXNhIjoiMC4xMCIsInFzcCI6IjEuMDAifQ%3D%3D&sr=8-2,"24,999","12,999",4.3,"43,991"
12_10_2022,AM,24,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),Televisions,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0186151XRJ3Y6VFD9NL&url=%2FSamsung-Inches-Wondertainment-UA32T4340BKXXL-Glossy%2Fdp%2FB09F6S8BT6%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DSamsung%2B80%2Bcm%2B%252832%2BInches%2529%2BWondertainment%2BSeries%2BHD%2BReady%2BLED%2BSmart%2BTV%2BUA32T4340BKXXL%2B%2528Glossy%2BBlack%2529%26qid%3D1665556104%26qu%3DeyJxc2MiOiIwLjc2IiwicXNhIjoiMC4xMyIsInFzcCI6IjAuMDAifQ%253D%253D%26sr%3D8-1-spons%26psc%3D1&qualifier=1665556104&id=6195746608320893&widgetName=sp_atf,"22,900","13,499",4.3,"15,588"
